"ID (артикул)";"Номенклатура";"Наличие";"Цена"
"10439";"7.00T-15 ET-30 PCD6x220 HUB170 EKKA для вилочного погрузчика";"156";"10910"
"10436";"3.00D-8 ET0 PCD6x125 HUB100 EKKA Диск для вилочного погрузчика";"211";"1900"
"10437";"3.00D-8 ET0 PCD6x148 HUB110 EKKA Диск для вилочного погрузчика";"0";"1900"
"10438";"5.00F-10 ET0 PCD6x180 HUB150 EKKA Диск для вилочного погрузчика";"9";"3090"
"10674";"4.00E-9 ET0 PCD6x170 HUB140 EKKA Диск для вилочного погрузчика";"49";"2380"
"10675";"4.00E-9 ET0 PCD6x180 HUB150 EKKA Диск для вилочного погрузчика";"26";"2380"
"10676";"4.00E-9 ET0 PCD8x160 HUB130 EKKA Диск для вилочного погрузчика";"65";"3250"
"10677";"4.33R-8 ET0 PCD5x145 HUB110 EKKA Диск для вилочного погрузчика";"349";"4700"
"10678";"5.00F-10 ET0 PCD8x160 HUB130 EKKA Диск для вилочного погрузчика";"154";"3630"
"10679";"7.00T-15 ET77 PCD6x200 HUB150 EKKA Диск для вилочного погрузчика";"90";"10910"
"10680";"7.00T-15 ET19 PCD6x220 HUB175 EKKA Диск для вилочного погрузчика";"259";"10910"
"11181";"3.00D-8 ET0 PCD5x145 HUB110 EKKA Диск для вилочного погрузчика";"87";"2140"
"11182";"5.00S-12 ET0 PCD8x190 HUB145 EKKA Диск для вилочного погрузчика";"73";"5660"
"11183";"5.00S-12 ET0 PCD6x200 HUB150 EKKA Диск для вилочного погрузчика";"1";"5660"
"11184";"5.00S-12 ET0 PCD6x220 HUB170 EKKA Диск для вилочного погрузчика";"48";"6100"
"11185";"7.00T-15 ET10 PCD6x220 HUB165 EKKA Диск для вилочного погрузчика";"111";"10910"
"11904";"5.00F-10 ET0 PCD6x170 HUB140 EKKA Диск для вилочного погрузчика";"46";"3090"
"6497";"7.00T-15 ET77 PCD6x200 HUB150 LANTIAN Диск для вилочного погрузчика";"0";"13890"
"6496";"7.00T-15 ET10 PCD6x220 HUB165 LANTIAN Диск для вилочного погрузчика";"0";"13890"
"6498";"7.00T-15 ET19 PCD6x220 HUB175 LANTIAN Диск для вилочного погрузчика";"0";"13890"
"6528";"3.00D-8 ET0 PCD5x145 HUB110 LANTIAN Диск для вилочного погрузчика";"0";"2820"
"6539";"3.00D-8 ET0 PCD6x125 HUB100 LANTIAN Диск для вилочного погрузчика";"0";"2820"
"6537";"3.00D-8 ET0 PCD6x148 HUB110 LANTIAN Диск для вилочного погрузчика";"-15";"2820"
"6536";"4.00E-9 ET0 PCD6x180 HUB150 LANTIAN Диск для вилочного погрузчика";"0";"3280"
"6540";"4.00E-9 ET0 PCD8x160 HUB130 LANTIAN Диск для вилочного погрузчика";"0";"3280"
"6542";"5.00F-10 ET0 PCD6x180 HUB150 LANTIAN Диск для вилочного погрузчика";"0";"3510"
"6493";"5.00F-10 ET0 PCD8x160 HUB130 LANTIAN Диск для вилочного погрузчика";"0";"3510"
"6494";"5.00S-12 ET0 PCD6x200 HUB150 LANTIAN Диск для вилочного погрузчика";"0";"5540"
"6495";"5.00S-12 ET0 PCD6x220 HUB170 LANTIAN Диск для вилочного погрузчика";"0";"5540"
"6543";"5.00S-12 ET0 PCD8x190 HUB145 LANTIAN Диск для вилочного погрузчика";"0";"5540"
"6526";"4.00E-9 ET0 PCD6x170 HUB140 LANTIAN Диск для вилочного погрузчика";"0";"3280"
"6516";"5.00F-10 ET0 PCD6x170 HUB140 LANTIAN Диск для вилочного погрузчика";"0";"2850"
"10983";"3.00D-8 ET0 PCD6x148 HUB110 SKLD Диск для вилочного погрузчика";"206";"2040"
"10924";"3.00D-8 ET0 PCD6x125 HUB100 SKLD Диск для вилочного погрузчика";"6";"2920"
