"ID (артикул)";"Номенклатура";"Наличие";"Цена"
"11011";"Камера 28х9-15 для шин";"57";"1120"
"11010";"Камера 7.00-12 для шин";"175";"1020"
"11009";"Камера 6.50-10 для шин";"0";"850"
"11008";"Камера 6.00-9 для шин";"95";"670"
"11007";"Камера 5.00-8 для шин";"11";"600"
"11602";"Камера 4.00-8 для шин";"198";"660"
"11599";"Камера 16/70-20 для шин";"96";"3050"
"11853";"Камера 14.9-28 для шин";"131";"5020"
"11863";"Камера 20.5/70-16 для шин";"49";"2350"
"11600";"Камера 300-15 для шин";"83";"1860"
"11859";"Камера 13х5-6 TR13 для шин";"0";"900"
"11862";"Камера 18х8.50/9.50-8 для шин";"0";"1640"
"11861";"Камера 16х6.50-8 TR13 для шин";"0";"1540"
"11860";"Камера 15х6-6 для шин";"0";"970"
"11012";"Камера 18.00-25 для шин";"8";"6100"
"11603";"Камера 8.25-15 для шин";"104";"1860"
"11865";"Камера 29.5-25 для шин";"40";"16020"
"11864";"Камера 26.5-25 для шин";"50";"13730"
"11601";"Камера 250-15 для шин";"100";"1370"
"11851";"Камера 14.00-20 для шин";"98";"2900"
"9700";"Камера 18.4-26 для шин";"23";"4370"
"9695";"Камера 14.9-24 для шин";"2";"4260"
"9696";"Камеры 15.5-25 для шин";"41";"4440"
"8132";"Камера 23.5-25 для шин";"230";"10010"
"8502";"Камера 20.5-25 для шин";"95";"9430"
"9697";"Камера 17.5-25 для шин";"0";"5600"
"9724";"Камера 16/70-24 для шин";"0";"3820"
"6579";"Камера 16.9-28 для шин";"2";"6840"
"7733";"Камера 12.5/80-18 для шин";"18";"1990"
"8538";"Камера 16.9-24 для шин";"0";"6870"
"8016";"Камера 12.00-24 для шин";"0";"3420"
"10159";"Камера 5.00-10 для шин";"2";"830"
"6573";"Камера 7.50-16 для шин";"14";"1140"
"6577";"Камера 19.5-24 для шин";"0";"3750"
"6602";"Камера 11.00-20 для шин";"375";"1400"
"6616";"Камера 10.00-20 для шин";"2";"1090"
"9661";"Камера 14.00-24 для шин";"0";"3220"
"6569";"Камера 9.50-16 для шин";"80";"940"
"10468";"Камера 13х5-6 TR87 для шин";"23";"920"
"10103";"Камера 20х8-8 TR13 для шин";"12";"1520"
"9282";"Камера 20х8-10 для шин";"0";"1100"
"9663";"Камера 10.0/75-15.3 для шин";"0";"1810"
"7878";"Камера 8.25-20 для шин";"0";"2090"
"7794";"Камера 12.00-20 для шин";"0";"2020"
"11417";"Камера 11.5/80-15.3 для шин";"0";"2630"
"10077";"Камера 9.00-20 для шин";"0";"1810"
"8575";"Ободная лента 15.5-25";"33";"1970"
"8143";"Ободная лента 17.5-25";"230";"2070"
"8503";"Ободная лента 20.5-25";"34";"2400"
"11013";"Ободная лента 23.5-25";"27";"2560"
"11870";"Ободная лента 16.00-24";"4";"1480"
"11014";"Ободная лента 18.00-25";"87";"2270"
"11015";"Ободная лента 16/70-24 (405/70-24)";"20";"1380"
"11868";"Ободная лента 300-508 (16.00-20)";"22";"1210"
"11869";"Ободная лента 14.00-24";"30";"1260"
"11867";"Ободная лента 26.5-25";"16";"3250"
"8353";"Ободная лента 5.00-8";"0";"320"
"9386";"Ободная лента 6.00-9";"0";"330"
"6641";"Ободная лента 6.7-20";"12";"440"
"10886";"Ободная лента 8.15-15";"0";"450"
"6628";"Ободная лента 7.00-15";"0";"400"
"9351";"Ободная лента 6.50-10";"0";"510"
"7962";"Ободная лента 8.25-15";"0";"640"
"6639";"Ободная лента 23х10-12";"2";"140"
"8604";"Ободная лента 7.7-20";"0";"630"
"6625";"Ободная лента 9.00-16";"0";"170"
"10393";"Кольцо уплотнительное 7 мм";"11";"710"
"10394";"Кольцо уплотнительное 9 мм";"161";"820"
