"ID (артикул)";"Номенклатура";"Наличие";"Цена"
"9311";"10-16.5 10PR EKS-1 EKKA Шина для минипогрузчика";"102";"11410"
"9312";"12-16.5 12PR EKS-1 EKKA Шина для минипогрузчика";"2";"16350"
"9201";"12-16.5 12PR TL Шина пневматическая EKT-2 EKKA";"30";"21650"
"9200";"10-16.5 10PR TL Шина пневматическая EKT-2 EKKA";"126";"17400"
"9241";"10-16.5 10PR TL Шина пневматическая T601 EKKA";"0";"11410"
"9243";"12-16.5 12PR TL Шина пневматическая T601 EKKA";"0";"16350"
"9245";"14-17.5 14PR TL 155A8 T601 EKKA Шина для минипогрузчика";"26";"27810"
"9222";"23х8.5-12 8PR TL 107A8 T601 EKKA Шина для минипогрузчика";"6";"7790"
"9223";"27х8.5-15 8PR TL 101A8 T601 EKKA Шина для минипогрузчика";"19";"9050"
"9244";"33х15.5-16.5 14PR TL 148A8 T601 EKKA Шина для минипогрузчика";"26";"17610"
"9168";"5.70-12 6PR TL EKKA T601 Шина для минипогрузчика";"0";"2610"
"9169";"31х15.5-15 8PR TL 116A8 EKKA T601 Шина для минипогрузчика";"0";"13690"
"11331";"10-16.5 10PR TL T608 EKKA Шина для минипогрузчика";"6";"19110"
"11332";"12-16.5 12PR TL 145A8 T608 EKKA Шина для минипогрузчика";"2";"24230"
"11358";"30x10-16 (30x10-20/10-16.5) Колесо цельнолитое WHEELS STANDARD EKKA (в сборе с диском для BOBCAT)";"0";"55300"
"11359";"12-16.5 (33х12-20) Колесо цельнолитое WHEELS STANDARD EKKA (в сборе с диском для BOBCAT)";"38";"79470"
"11667";"12-16.5 (33х12-20) Колесо цельнолитое WHEELS STANDARD EKKA (в сборе с диском для LONKING)";"0";"79470"
"11668";"30x10-16 (30x10-20/10-16.5) Колесо цельнолитое WHEELS STANDARD EKKA (в сборе с диском для LONKING)";"0";"55300"
"7094";"10-16.5 SKS-1 134A8 10PR TL Superguider Шина для минипогрузчика";"49";"10570"
"6919";"10-16.5 SKS-3 12PR TL 138A8 Superguider Шина для минипогрузчика";"52";"19290"
"7115";"10-16.5 12PR 138A8 TL SKS-4 Superguider Шина для минипогрузчика";"0";"19260"
"6978";"10.0/75-15.3 10PR 128A8 QH602 Superguider Шина для минипогрузчика";"8";"12000"
"7113";"12-16.5 12PR TL 144A8 SKS-1 Superguider Шина для минипогрузчика";"86";"13340"
"7171";"11.5/80-15.3 12PR QH602 Superguider Шина для минипогрузчика";"21";"15330"
"6896";"23х8.5-12 6PR TL Шина пневматическая Superguider SKS-5";"0";"4360"
"6900";"14-17.5 14PR TL Шина пневматическая Superguider SKS-1";"0";"23190"
"6915";"12-16.5 12PR TL Шина пневматическая Superguider SKS-5";"0";"10440"
"6966";"12-16.5 14PR TL Шина пневматическая Superguider SKS-3";"1";"25300"
"6985";"15-19.5 14PR TL Шина пневматическая Superguider SKS-1";"11";"36220"
"6967";"12-16.5 14PR TL Шина пневматическая Superguider SKS-4";"0";"24120"
"6962";"23х8.5-12 8PR SKS-5 Superguider Шина для минипогрузчика";"18";"7250"
"10383";"27х8.5-15 8PR SKS-5 Superguider Шина для минипогрузчика";"0";"8510"
"11682";"12-16.5 14PR TL Шина пневматическая Foreruner SKS-3";"0";"23900"
"7249";"10-16.5 (30х10-20) Колесо цельнолитое WHEELS STANDARD IST (в сборе с диском)";"96";"56170"
"7251";"12-16.5 (33х12-20) Колесо цельнолитое WHEELS STANDARD IST (в сборе с диском)";"82";"71680"
"7114";"12-16.5 12PR TL Шина пневматическая HUITON T601";"0";"10050"
"6901";"14-17.5 14PR TL Шина пневматическая HUITON T601";"0";"27810"
"9174";"10-16.5 10PR TL Шина пневматическая HUITON T608";"0";"19110"
"9308";"12-16.5 12PR TL Шина пневматическая HUITON T608";"0";"24230"
"10633";"12-16.5 12PR BOSSMAN MASTER SKID Шина для минипогрузчика";"0";"9780"
"10634";"14-17.5 14PR BOSSMAN MASTER SKID Шина для минипогрузчика";"0";"15390"
"10636";"12-16.5 14PR BOSSMAN MASTER DEVIL Шина для минипогрузчика";"0";"15800"
"10952";"12-16.5 12PR 145A8 T608 HERADE Шина для минипогрузчика";"1";"24230"
