НоменклатураКод;ЦенаРозн;ЦенаОпт;Свободно;Резерв;Климовск;КлимовскР;Краснодар;КраснодарР;Воронеж;ВоронежР;СанктПетербург;СанктПетербургР;Екатеринбург;ЕкатеринбургР;Ожидается;Дата;
00000003278;2000;1540;60;0;60;0;0;0;0;0;0;0;0;0;;;
00000003281;3180;2460;53;0;53;0;0;0;0;0;0;0;0;0;;;
00000003285;2770;2140;52;0;52;0;0;0;0;0;0;0;0;0;;;
00000003287;3370;2600;78;0;78;0;0;0;0;0;0;0;0;0;;;
00000003290;2200;1700;53;0;53;0;0;0;0;0;0;0;0;0;;;
00000003292;1760;1360;13;0;13;0;0;0;0;0;0;0;0;0;;;
00000003293;2000;1540;77;0;77;0;0;0;0;0;0;0;0;0;;;
00000003297;3290;2540;9;0;9;0;0;0;0;0;0;0;0;0;;;
00000003298;2370;1830;53;0;53;0;0;0;0;0;0;0;0;0;;;
00000003299;2870;2220;31;0;31;0;0;0;0;0;0;0;0;0;;;
00000003300;2870;2220;71;0;71;0;0;0;0;0;0;0;0;0;;;
00000003302;640;390;732;0;732;0;0;0;0;0;0;0;0;0;;;
00000003303;740;450;907;0;907;0;0;0;0;0;0;0;0;0;;;
00000003305;660;400;820;0;820;0;0;0;0;0;0;0;0;0;;;
00000003307;440;270;938;0;938;0;0;0;0;0;0;0;0;0;;;
00000003309;590;360;914;0;914;0;0;0;0;0;0;0;0;0;;;
00000003311;630;380;498;0;498;0;0;0;0;0;0;0;0;0;;;
00000003313;670;550;824;0;824;0;0;0;0;0;0;0;0;0;;;
00000003314;700;580;248;0;248;0;0;0;0;0;0;0;0;0;;;
00000003315;680;560;783;0;783;0;0;0;0;0;0;0;0;0;;;
00000003317;410;290;458;0;458;0;0;0;0;0;0;0;0;0;;;
00000003321;330;200;161;0;161;0;0;0;0;0;0;0;0;0;;;
00000003324;320;240;811;0;811;0;0;0;0;0;0;0;0;0;;;
00000003326;780;570;5;0;5;0;0;0;0;0;0;0;0;0;;;
00000003337;750;530;60;0;60;0;0;0;0;0;0;0;0;0;;;
00000003341;470;330;100;0;100;0;0;0;0;0;0;0;0;0;;;
00000003379;780;550;60;0;60;0;0;0;0;0;0;0;0;0;;;
00000003380;1130;790;100;0;100;0;0;0;0;0;0;0;0;0;;;
00000003381;540;340;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000003382;900;630;135;0;135;0;0;0;0;0;0;0;0;0;;;
00000003384;770;540;194;0;194;0;0;0;0;0;0;0;0;0;;;
00000003389;640;440;16;0;16;0;0;0;0;0;0;0;0;0;;;
00000003395;1110;900;3;0;3;0;0;0;0;0;0;0;0;0;;;
00000003397;350;240;163;0;163;0;0;0;0;0;0;0;0;0;;;
00000003401;570;400;35;0;35;0;0;0;0;0;0;0;0;0;;;
00000003429;780;550;22;0;22;0;0;0;0;0;0;0;0;0;;;
00000003796;950;570;9;0;9;0;0;0;0;0;0;0;0;0;;;
00000003805;530;370;25;0;25;0;0;0;0;0;0;0;0;0;;;
00000003818;560;390;23;0;23;0;0;0;0;0;0;0;0;0;;;
00000004157;2150;1610;3;0;3;0;0;0;0;0;0;0;0;0;;;
00000004564;2660;1840;256;0;256;0;0;0;0;0;0;0;0;0;;;
00000004565;5580;4580;413;0;413;0;0;0;0;0;0;0;0;0;;;
00000004566;3540;2830;252;0;252;0;0;0;0;0;0;0;0;0;;;
00000004567;3570;2860;51;0;51;0;0;0;0;0;0;0;0;0;;;
00000004568;5330;4160;38;0;38;0;0;0;0;0;0;0;0;0;;;
00000004569;1040;840;315;0;315;0;0;0;0;0;0;0;0;0;;;
00000004570;2020;1570;78;0;78;0;0;0;0;0;0;0;0;0;;;
00000004571;2440;1890;80;0;80;0;0;0;0;0;0;0;0;0;;;
00000004572;3100;2600;108;0;108;0;0;0;0;0;0;0;0;0;;;
00000004574;2480;2190;76;0;76;0;0;0;0;0;0;0;0;0;;;
00000004575;1180;1040;133;0;133;0;0;0;0;0;0;0;0;0;;;
00000004577;1030;740;6;0;6;0;0;0;0;0;0;0;0;0;;;
00000004578;3110;2490;32;0;32;0;0;0;0;0;0;0;0;0;;;
00000004579;1270;980;147;0;147;0;0;0;0;0;0;0;0;0;;;
00000004580;3350;2640;26;0;26;0;0;0;0;0;0;0;0;0;;;
00000004581;810;570;74;1;74;1;0;0;0;0;0;0;0;0;;;
00000004582;470;360;385;0;385;0;0;0;0;0;0;0;0;0;;;
00000004583;1100;930;555;0;555;0;0;0;0;0;0;0;0;0;;;
00000004584;2480;1740;165;0;165;0;0;0;0;0;0;0;0;0;;;
00000004585;630;490;119;43;119;43;0;0;0;0;0;0;0;0;;;
00000004586;520;400;317;0;317;0;0;0;0;0;0;0;0;0;;;
00000004587;480;340;202;0;202;0;0;0;0;0;0;0;0;0;;;
00000004588;650;500;450;0;450;0;0;0;0;0;0;0;0;0;;;
00000004589;670;490;145;43;145;43;0;0;0;0;0;0;0;0;;;
00000004590;920;710;313;0;313;0;0;0;0;0;0;0;0;0;;;
00000004591;700;560;195;0;195;0;0;0;0;0;0;0;0;0;;;
00000004592;1240;1010;348;0;348;0;0;0;0;0;0;0;0;0;;;
00000004624;710;590;283;0;283;0;0;0;0;0;0;0;0;0;;;
00000004625;1190;890;262;0;262;0;0;0;0;0;0;0;0;0;;;
00000004626;1350;1050;933;0;933;0;0;0;0;0;0;0;0;0;;;
00000004627;770;560;75;0;75;0;0;0;0;0;0;0;0;0;;;
00000004628;1120;940;38;0;38;0;0;0;0;0;0;0;0;0;;;
00000004683;3300;2480;45;0;45;0;0;0;0;0;0;0;0;0;;;
00000004685;1860;1400;16;0;16;0;0;0;0;0;0;0;0;0;;;
00000004686;2400;1800;16;0;16;0;0;0;0;0;0;0;0;0;;;
00000004689;1920;1440;79;0;79;0;0;0;0;0;0;0;0;0;;;
00000004871;2530;1520;238;0;238;0;0;0;0;0;0;0;0;0;;;
00000004872;3550;2780;153;0;153;0;0;0;0;0;0;0;0;0;;;
00000004873;3140;2430;38;0;38;0;0;0;0;0;0;0;0;0;;;
00000004874;2000;1550;278;0;278;0;0;0;0;0;0;0;0;0;;;
00000004875;2000;1440;482;0;482;0;0;0;0;0;0;0;0;0;;;
00000004876;2120;1640;118;0;118;0;0;0;0;0;0;0;0;0;;;
00000004877;1290;870;344;0;344;0;0;0;0;0;0;0;0;0;;;
00000004879;760;530;139;0;139;0;0;0;0;0;0;0;0;0;;;
00000004880;1500;1240;343;0;343;0;0;0;0;0;0;0;0;0;;;
00000004881;1350;1180;47;0;47;0;0;0;0;0;0;0;0;0;;;
00000004882;1970;1530;112;11;112;11;0;0;0;0;0;0;0;0;;;
00000004883;1950;1440;205;0;205;0;0;0;0;0;0;0;0;0;;;
00000004885;1020;840;214;0;214;0;0;0;0;0;0;0;0;0;;;
00000004886;700;480;252;0;252;0;0;0;0;0;0;0;0;0;;;
00000004887;1010;750;286;0;286;0;0;0;0;0;0;0;0;0;;;
00000004888;1320;1020;195;0;195;0;0;0;0;0;0;0;0;0;;;
00000004889;620;480;234;10;234;10;0;0;0;0;0;0;0;0;;;
00000004890;1410;1120;1351;0;1351;0;0;0;0;0;0;0;0;0;;;
00000004891;2630;1940;32;0;32;0;0;0;0;0;0;0;0;0;;;
00000004892;240;190;176;0;176;0;0;0;0;0;0;0;0;0;;;
00000004893;2630;1890;1137;0;1137;0;0;0;0;0;0;0;0;0;;;
00000004894;1340;1060;141;0;141;0;0;0;0;0;0;0;0;0;;;
00000004895;650;440;92;0;92;0;0;0;0;0;0;0;0;0;;;
00000004896;850;660;575;1;575;1;0;0;0;0;0;0;0;0;;;
00000004897;1610;1190;240;0;240;0;0;0;0;0;0;0;0;0;;;
00000004898;2370;1880;90;0;90;0;0;0;0;0;0;0;0;0;;;
00000004899;4160;3230;234;0;234;0;0;0;0;0;0;0;0;0;;;
00000004900;740;550;196;0;196;0;0;0;0;0;0;0;0;0;;;
00000004901;2810;2180;185;0;185;0;0;0;0;0;0;0;0;0;;;
00000004902;2180;1690;143;0;143;0;0;0;0;0;0;0;0;0;;;
00000004903;2870;2220;13;0;13;0;0;0;0;0;0;0;0;0;;;
00000004904;2590;1900;120;1;120;1;0;0;0;0;0;0;0;0;;;
00000004905;6930;5310;20;0;20;0;0;0;0;0;0;0;0;0;;;
00000004906;1620;1270;61;0;61;0;0;0;0;0;0;0;0;0;;;
00000004907;930;760;443;10;443;10;0;0;0;0;0;0;0;0;;;
00000004908;1040;810;178;0;178;0;0;0;0;0;0;0;0;0;;;
00000004909;820;600;40;0;40;0;0;0;0;0;0;0;0;0;;;
00000004910;1170;1080;136;0;136;0;0;0;0;0;0;0;0;0;;;
00000004911;4980;3510;494;37;494;37;0;0;0;0;0;0;0;0;;;
00000004913;4930;4010;118;0;118;0;0;0;0;0;0;0;0;0;;;
00000004914;14140;10990;17;0;17;0;0;0;0;0;0;0;0;0;;;
00000005107;2050;1810;439;0;439;0;0;0;0;0;0;0;0;0;;;
00000005108;1400;980;355;0;355;0;0;0;0;0;0;0;0;0;;;
00000005109;1130;880;858;0;858;0;0;0;0;0;0;0;0;0;;;
00000005110;1040;690;327;0;327;0;0;0;0;0;0;0;0;0;;;
00000005111;380;280;198;0;198;0;0;0;0;0;0;0;0;0;;;
00000005112;1290;950;112;0;112;0;0;0;0;0;0;0;0;0;;;
00000005113;5530;4150;221;24;221;24;0;0;0;0;0;0;0;0;;;
00000005114;4460;3260;50;0;50;0;0;0;0;0;0;0;0;0;;;
00000005115;6260;4880;51;0;51;0;0;0;0;0;0;0;0;0;;;
00000005116;1420;1220;704;0;704;0;0;0;0;0;0;0;0;0;;;
00000005233;810;630;240;1;240;1;0;0;0;0;0;0;0;0;;;
00000005234;1770;1300;117;1;117;1;0;0;0;0;0;0;0;0;;;
00000005235;490;380;139;1;139;1;0;0;0;0;0;0;0;0;;;
00000005236;780;600;281;0;281;0;0;0;0;0;0;0;0;0;;;
00000005237;1030;800;19;0;19;0;0;0;0;0;0;0;0;0;;;
00000005238;1370;1240;109;0;109;0;0;0;0;0;0;0;0;0;;;
00000005239;1430;1170;190;0;190;0;0;0;0;0;0;0;0;0;;;
00000005240;1110;860;228;0;228;0;0;0;0;0;0;0;0;0;;;
00000005241;1700;1420;250;0;250;0;0;0;0;0;0;0;0;0;;;
00000005242;630;400;226;0;226;0;0;0;0;0;0;0;0;0;;;
00000005243;1720;1170;173;0;173;0;0;0;0;0;0;0;0;0;;;
00000005244;1420;1100;106;0;106;0;0;0;0;0;0;0;0;0;;;
00000005245;4880;3750;117;0;117;0;0;0;0;0;0;0;0;0;;;
00000005246;3400;2670;68;0;68;0;0;0;0;0;0;0;0;0;;;
00000005247;4150;3040;142;0;142;0;0;0;0;0;0;0;0;0;;;
00000005248;4180;2730;186;0;186;0;0;0;0;0;0;0;0;0;;;
00000005249;860;650;297;0;297;0;0;0;0;0;0;0;0;0;;;
00000005250;780;570;270;0;270;0;0;0;0;0;0;0;0;0;;;
00000005251;900;650;500;0;500;0;0;0;0;0;0;0;0;0;;;
00000005252;640;510;179;0;179;0;0;0;0;0;0;0;0;0;;;
00000005253;630;490;232;1;232;1;0;0;0;0;0;0;0;0;;;
00000005254;4680;4210;63;0;63;0;0;0;0;0;0;0;0;0;;;
00000005362;5290;4890;531;0;531;0;0;0;0;0;0;0;0;0;;;
00000006315;500;340;376;22;376;22;0;0;0;0;0;0;0;0;;;
00000006316;700;480;367;0;367;0;0;0;0;0;0;0;0;0;;;
00000006317;1320;830;96;0;96;0;0;0;0;0;0;0;0;0;;;
00000006318;450;350;193;0;193;0;0;0;0;0;0;0;0;0;;;
00000006319;680;530;173;0;173;0;0;0;0;0;0;0;0;0;;;
00000006320;820;700;192;0;192;0;0;0;0;0;0;0;0;0;;;
00000006321;460;360;63;0;63;0;0;0;0;0;0;0;0;0;;;
00000006322;680;480;80;20;80;20;0;0;0;0;0;0;0;0;;;
00000006323;2740;2190;231;0;231;0;0;0;0;0;0;0;0;0;;;
00000006324;3500;2530;129;0;129;0;0;0;0;0;0;0;0;0;;;
00000006326;1240;930;30;0;30;0;0;0;0;0;0;0;0;0;;;
00000006327;800;580;190;0;190;0;0;0;0;0;0;0;0;0;;;
00000006328;3470;2340;279;0;279;0;0;0;0;0;0;0;0;0;;;
00000006329;2580;1960;123;10;123;10;0;0;0;0;0;0;0;0;;;
00000006330;3220;2380;128;0;128;0;0;0;0;0;0;0;0;0;;;
00000006331;1890;1360;231;0;231;0;0;0;0;0;0;0;0;0;;;
00000006332;6470;5550;351;0;351;0;0;0;0;0;0;0;0;0;;;
00000006333;2960;1910;198;0;198;0;0;0;0;0;0;0;0;0;;;
00000006336;2390;2010;357;0;357;0;0;0;0;0;0;0;0;0;;;
00000006338;1740;1350;140;0;140;0;0;0;0;0;0;0;0;0;;;
00000007745;970;790;703;0;703;0;0;0;0;0;0;0;0;0;;;
00000007746;3920;2760;87;0;87;0;0;0;0;0;0;0;0;0;;;
00000007747;1100;720;129;0;129;0;0;0;0;0;0;0;0;0;;;
00000007748;3860;3090;128;0;128;0;0;0;0;0;0;0;0;0;;;
00000007788;3140;2320;139;0;139;0;0;0;0;0;0;0;0;0;;;
00000008372;1720;1330;167;0;167;0;0;0;0;0;0;0;0;0;;;
00000008373;1370;1060;33;0;33;0;0;0;0;0;0;0;0;0;;;
00000008374;3810;3550;144;25;144;25;0;0;0;0;0;0;0;0;;;
00000008375;580;520;135;1;135;1;0;0;0;0;0;0;0;0;;;
00000008376;1850;1330;91;0;91;0;0;0;0;0;0;0;0;0;;;
00000008378;810;650;121;0;121;0;0;0;0;0;0;0;0;0;;;
00000008379;1780;1380;91;0;91;0;0;0;0;0;0;0;0;0;;;
00000008380;850;670;77;0;77;0;0;0;0;0;0;0;0;0;;;
00000008381;1650;1110;76;0;76;0;0;0;0;0;0;0;0;0;;;
00000008382;3060;2500;145;0;145;0;0;0;0;0;0;0;0;0;;;
00000008383;3690;3010;190;0;190;0;0;0;0;0;0;0;0;0;;;
00000008384;540;420;145;0;145;0;0;0;0;0;0;0;0;0;;;
00000008385;2790;2170;129;1;129;1;0;0;0;0;0;0;0;0;;;
00000008386;1510;1170;127;1;127;1;0;0;0;0;0;0;0;0;;;
00000008410;4630;3790;177;0;177;0;0;0;0;0;0;0;0;0;;;
00000008628;780;610;98;10;98;10;0;0;0;0;0;0;0;0;;;
00000008631;800;620;171;0;171;0;0;0;0;0;0;0;0;0;;;
00000008634;4210;3270;26;0;26;0;0;0;0;0;0;0;0;0;;;
00000008723;1180;910;153;0;153;0;0;0;0;0;0;0;0;0;;;
00000008724;1680;1370;85;72;85;72;0;0;0;0;0;0;0;0;;;
00000008725;2390;2000;29;0;29;0;0;0;0;0;0;0;0;0;;;
00000009173;460;360;162;0;162;0;0;0;0;0;0;0;0;0;;;
00000009176;940;820;179;0;179;0;0;0;0;0;0;0;0;0;;;
00000009177;1560;1240;365;0;365;0;0;0;0;0;0;0;0;0;;;
