НоменклатураКод;ЦенаРозн;ЦенаОпт;Свободно;Резерв;Климовск;КлимовскР;Краснодар;КраснодарР;Воронеж;ВоронежР;СанктПетербург;СанктПетербургР;Екатеринбург;ЕкатеринбургР;Ожидается;Дата;
00000006568;1620;1440;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000006569;940;810;80;0;80;0;0;0;0;0;0;0;0;0;;;
00000006570;1160;1080;8;0;8;0;0;0;0;0;0;0;0;0;;;
00000006572;1560;1430;417;0;417;0;0;0;0;0;0;0;0;0;;;
00000006573;1140;1000;14;0;14;0;0;0;0;0;0;0;0;0;;;
00000006574;2080;1930;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000006579;6840;6140;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000006584;460;450;186;0;186;0;0;0;0;0;0;0;0;0;;;
00000006586;550;550;8;0;8;0;0;0;0;0;0;0;0;0;;;
00000006588;730;730;165;0;165;0;0;0;0;0;0;0;0;0;;;
00000006590;790;790;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000006592;0;0;6;0;6;0;0;0;0;0;0;0;0;0;;;
00000006593;3900;3580;3;0;3;0;0;0;0;0;0;0;0;0;;;
00000006594;560;530;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000006595;230;180;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000006597;1010;1010;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000006600;0;0;4;0;4;0;0;0;0;0;0;0;0;0;;;
00000006602;1400;1290;375;0;375;0;0;0;0;0;0;0;0;0;;;
00000006604;2070;1920;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000006608;3350;3130;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000006612;3220;2720;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000006613;900;810;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000006616;1090;1000;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000006622;1040;920;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000006626;2500;2100;3;0;3;0;0;0;0;0;0;0;0;0;;;
00000006629;120;120;6;0;6;0;0;0;0;0;0;0;0;0;;;
00000006631;620;550;0;20;0;20;0;0;0;0;0;0;0;0;;;
00000006637;2820;2550;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000006639;140;140;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000006641;440;380;12;0;12;0;0;0;0;0;0;0;0;0;;;
00000006642;2100;1950;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000007733;1990;1740;18;0;18;0;0;0;0;0;0;0;0;0;;;
00000008132;10010;9070;230;0;230;0;0;0;0;0;0;0;0;0;;;
00000008142;6590;5970;361;4;361;4;0;0;0;0;0;0;0;0;;;
00000008143;2070;1610;226;4;226;4;0;0;0;0;0;0;0;0;;;
00000008502;9430;8550;95;0;95;0;0;0;0;0;0;0;0;0;;;
00000008503;2400;1840;34;0;34;0;0;0;0;0;0;0;0;0;;;
00000008574;6880;6290;52;0;52;0;0;0;0;0;0;0;0;0;;;
00000008575;1970;1610;33;0;33;0;0;0;0;0;0;0;0;0;;;
00000008766;6670;6220;8;0;8;0;0;0;0;0;0;0;0;0;;;
00000008815;1800;1720;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000009039;4140;3780;93;0;93;0;0;0;0;0;0;0;0;0;;;
00000009619;4860;4460;10;0;7;0;0;0;0;0;0;0;3;0;;;
00000009628;3370;3210;10;0;10;0;0;0;0;0;0;0;0;0;;;
00000009655;460;410;27;0;27;0;0;0;0;0;0;0;0;0;;;
00000009656;600;540;13;0;13;0;0;0;0;0;0;0;0;0;;;
00000009695;4260;3550;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000009696;4440;4010;36;5;36;5;0;0;0;0;0;0;0;0;;;
00000009698;10870;9440;13;0;13;0;0;0;0;0;0;0;0;0;;;
00000009700;4370;3820;23;0;23;0;0;0;0;0;0;0;0;0;;;
00000009703;5570;4620;1;2;1;2;0;0;0;0;0;0;0;0;;;
00000009874;870;740;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000009875;960;790;18;0;18;0;0;0;0;0;0;0;0;0;;;
00000009913;1620;1460;14;0;14;0;0;0;0;0;0;0;0;0;;;
00000009914;1420;1280;16;0;16;0;0;0;0;0;0;0;0;0;;;
00000010103;1520;1290;12;0;12;0;0;0;0;0;0;0;0;0;;;
00000010104;1380;1150;14;0;14;0;0;0;0;0;0;0;0;0;;;
00000010159;830;720;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000010223;1400;1260;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000010224;880;730;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000010393;710;670;11;0;11;0;0;0;0;0;0;0;0;0;;;
00000010394;820;730;161;0;161;0;0;0;0;0;0;0;0;0;;;
00000010465;5560;4550;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000010468;920;790;23;0;23;0;0;0;0;0;0;0;0;0;;;
00000011007;600;540;1;10;1;10;0;0;0;0;0;0;0;0;;;
00000011008;670;580;95;0;95;0;0;0;0;0;0;0;0;0;;;
00000011010;1020;800;175;0;175;0;0;0;0;0;0;0;0;0;;;
00000011011;1120;970;57;0;57;0;0;0;0;0;0;0;0;0;;;
00000011012;6100;5020;8;0;8;0;0;0;0;0;0;0;0;0;;;
00000011013;2560;2110;23;4;23;4;0;0;0;0;0;0;0;0;;;
00000011014;2270;1950;87;0;87;0;0;0;0;0;0;0;0;0;;;
00000011015;1380;1260;20;0;20;0;0;0;0;0;0;0;0;0;;;
00000011267;900;900;10;0;10;0;0;0;0;0;0;0;0;0;;;
