НоменклатураКод;ЦенаРозн;ЦенаОпт;Свободно;Резерв;Климовск;КлимовскР;Краснодар;КраснодарР;Воронеж;ВоронежР;СанктПетербург;СанктПетербургР;Екатеринбург;ЕкатеринбургР;Ожидается;Дата;
00000006512;7640;6920;36;0;36;0;0;0;0;0;0;0;0;0;;;
00000006516;2850;2420;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000006519;6440;5310;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000006536;3280;2620;0;2;0;2;0;0;0;0;0;0;0;0;;;
00000006537;2820;2440;-15;67;-15;67;0;0;0;0;0;0;0;0;;;
00000006539;2820;2440;0;24;0;24;0;0;0;0;0;0;0;0;;;
00000006540;3280;2620;0;1;0;1;0;0;0;0;0;0;0;0;;;
00000006542;3510;2980;49;11;49;11;0;0;0;0;0;0;0;0;;;
00000006545;5410;5410;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000006549;2590;2230;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000006555;2870;2410;13;0;13;0;0;0;0;0;0;0;0;0;;;
00000006556;1880;1630;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000006559;1030;900;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000006621;200;200;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000006798;4800;4530;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000006815;26850;25710;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000006816;9550;8930;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000006846;20410;18600;7;0;7;0;0;0;0;0;0;0;0;0;;;
00000006847;13670;12450;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000006865;6120;5440;58;0;58;0;0;0;0;0;0;0;0;0;;;
00000006919;18910;16440;90;0;90;0;0;0;0;0;0;0;0;0;;;
00000006924;48840;44800;4;0;4;0;0;0;0;0;0;0;0;0;;;
00000006936;38120;34110;10;0;10;0;0;0;0;0;0;0;0;0;10;2024-11-29;
00000006955;55500;49660;13;0;13;0;0;0;0;0;0;0;0;0;14;2024-11-25;
00000006966;24870;21630;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000006978;12610;10970;28;0;28;0;0;0;0;0;0;0;0;0;;;
00000006981;11210;9960;7;0;7;0;0;0;0;0;0;0;0;0;;;
00000006984;12840;11630;30;0;30;0;0;0;0;0;0;0;0;0;10;2024-11-25;
00000006985;36420;31670;13;0;13;0;0;0;0;0;0;0;0;0;;;
00000006999;23330;20740;40;0;40;0;0;0;0;0;0;0;0;0;;;
00000007001;66890;59450;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000007039;51640;50290;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000007048;38470;34420;23;4;23;4;0;0;0;0;0;0;0;0;;;
00000007081;4080;3750;158;0;158;0;0;0;0;0;0;0;0;0;;;
00000007085;4140;3860;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000007086;6380;5670;14;0;14;0;0;0;0;0;0;0;0;0;;;
00000007088;15270;13770;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000007094;10620;9230;12;32;12;32;0;0;0;0;0;0;0;0;50;2024-11-15;
00000007113;13040;11340;30;12;30;12;0;0;0;0;0;0;0;0;54;2024-11-29;
00000007123;28070;24950;95;0;95;0;0;0;0;0;0;0;0;0;;;
00000007130;530;510;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000007135;21300;18640;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000007137;17290;15600;68;0;68;0;0;0;0;0;0;0;0;0;;;
00000007139;105470;94370;2;0;2;0;0;0;0;0;0;0;0;0;12;2024-11-25;
00000007149;43740;38880;8;0;8;0;0;0;0;0;0;0;0;0;20;2024-11-25;
00000007157;3600;3450;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000007169;44380;39450;12;0;12;0;0;0;0;0;0;0;0;0;;;
00000007171;15850;13790;29;0;29;0;0;0;0;0;0;0;0;0;;;
00000007195;9110;8100;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000007197;9110;8100;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000007199;9420;8370;53;0;53;0;0;0;0;0;0;0;0;0;;;
