"Код";"Код номенклатуры";"Наименование";"Сокращенное наименование";"Производитель";"Часть фильтра";"Производитель техники"
"180";"3297";"M-FILTER";"A590";"A590";"3";"2"
"181";"3297";"UFI";"2738300";"2738300";"3";"2"
"182";"3297";"WIX FILTERS";"93157E";"93157E";"3";"2"
"183";"3297";"CROSLAND";"9826";"9826";"3";"2"
"184";"3297";"TECNOCAR";"A577";"A577";"3";"2"
"185";"3297";"COOPERS";"AEM2828";"AEM2828";"3";"2"
"186";"3297";"FLEETGUARD";"AF25653";"AF25653";"3";"2"
"187";"3297";"FILTRON";"AM465/3";"AM4653";"3";"2"
"188";"3297";"MANN-HUMMEL";"C2910321";"C2910321";"3";"2"
"189";"3297";"FRAM";"CA9388";"CA9388";"3";"2"
"190";"3297";"HENGST";"E361L";"E361L";"3";"2"
"191";"3297";"LUBER-FINER";"LAF4599";"LAF4599";"3";"2"
"192";"3297";"KNECHT-MAHLE";"LX776";"LX776";"3";"2"
"193";"3297";"KNECHT-MAHLE";"LX3480KIT";"LX3480KIT";"3";"2"
"194";"3297";"DONALDSON";"P781465";"P781465";"3";"2"
"195";"3297";"BALDWIN FILTERS";"RS5342";"RS5342";"3";"2"
"196";"3297";"HIFI FILTER";"SA17222";"SA17222";"3";"2"
"197";"3297";"MTF";"MF-590";"MF590";"3";"2"
"198";"3297";"KOLBENSCHMIDT";"50013616";"50013616";"3";"2"
"199";"3297";"BOSCH";"026";"026";"3";"2"
"200";"3297";"BOSCH";"400";"400";"3";"2"
"201";"3297";"BOSCH";"288";"288";"3";"2"
"202";"3297";"MERCEDES-BENZ";"30949504";"30949504";"3";"1"
"203";"3297";"MERCEDES-BENZ";"30949604";"30949604";"3";"1"
"204";"3297";"MERCEDES-BENZ";"A0030949504";"A0030949504";"3";"1"
"205";"3297";"MERCEDES-BENZ";"A0030949604";"A0030949604";"3";"1"
