НоменклатураКод;ЦенаРозн;ЦенаОпт;Свободно;Резерв;Климовск;КлимовскР;Краснодар;КраснодарР;Воронеж;ВоронежР;СанктПетербург;СанктПетербургР;Екатеринбург;ЕкатеринбургР;Ожидается;Дата;
00000003278;2000;1540;71;0;71;0;0;0;0;0;0;0;0;0;;;
00000003281;3180;2460;76;0;76;0;0;0;0;0;0;0;0;0;;;
00000003283;2500;1930;52;0;52;0;0;0;0;0;0;0;0;0;;;
00000003285;2770;2140;74;0;74;0;0;0;0;0;0;0;0;0;;;
00000003287;3370;2600;78;0;78;0;0;0;0;0;0;0;0;0;;;
00000003289;2290;1770;65;0;65;0;0;0;0;0;0;0;0;0;;;
00000003290;2200;1700;65;0;65;0;0;0;0;0;0;0;0;0;;;
00000003292;1760;1360;58;0;58;0;0;0;0;0;0;0;0;0;;;
00000003293;2000;1540;78;0;78;0;0;0;0;0;0;0;0;0;;;
00000003296;2680;2070;6;0;6;0;0;0;0;0;0;0;0;0;;;
00000003297;3290;2540;46;0;46;0;0;0;0;0;0;0;0;0;;;
00000003298;2370;1830;53;0;53;0;0;0;0;0;0;0;0;0;;;
00000003299;2870;2220;48;0;48;0;0;0;0;0;0;0;0;0;;;
00000003300;2870;2220;71;0;71;0;0;0;0;0;0;0;0;0;;;
00000003302;640;390;932;0;927;0;5;0;0;0;0;0;0;0;;;
00000003303;740;450;912;0;907;0;5;0;0;0;0;0;0;0;;;
00000003304;840;460;5;0;0;0;5;0;0;0;0;0;0;0;;;
00000003305;660;400;923;0;918;0;5;0;0;0;0;0;0;0;;;
00000003306;660;400;826;0;824;0;2;0;0;0;0;0;0;0;;;
00000003307;440;270;943;0;938;0;5;0;0;0;0;0;0;0;;;
00000003309;590;360;962;0;962;0;0;0;0;0;0;0;0;0;;;
00000003310;690;470;218;0;218;0;0;0;0;0;0;0;0;0;;;
00000003311;630;380;886;0;886;0;0;0;0;0;0;0;0;0;;;
00000003313;670;550;849;0;849;0;0;0;0;0;0;0;0;0;;;
00000003314;700;580;336;0;336;0;0;0;0;0;0;0;0;0;;;
00000003315;680;560;800;0;800;0;0;0;0;0;0;0;0;0;;;
00000003317;410;290;630;0;607;0;23;0;0;0;0;0;0;0;;;
00000003318;750;460;643;0;643;0;0;0;0;0;0;0;0;0;;;
00000003320;690;510;195;0;190;0;5;0;0;0;0;0;0;0;;;
00000003321;330;200;350;0;350;0;0;0;0;0;0;0;0;0;;;
00000003322;250;150;20;0;0;0;20;0;0;0;0;0;0;0;;;
00000003323;760;410;611;0;586;0;25;0;0;0;0;0;0;0;;;
00000003324;320;240;820;0;817;0;3;0;0;0;0;0;0;0;;;
00000003325;390;290;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000003326;780;570;5;0;0;0;5;0;0;0;0;0;0;0;;;
00000003337;750;530;79;0;79;0;0;0;0;0;0;0;0;0;;;
00000003338;680;470;4;0;4;0;0;0;0;0;0;0;0;0;;;
00000003341;470;330;100;0;100;0;0;0;0;0;0;0;0;0;;;
00000003371;180;130;5;0;5;0;0;0;0;0;0;0;0;0;;;
00000003377;720;500;13;0;13;0;0;0;0;0;0;0;0;0;;;
00000003379;780;550;73;0;73;0;0;0;0;0;0;0;0;0;;;
00000003380;1130;790;100;0;100;0;0;0;0;0;0;0;0;0;;;
00000003381;540;340;3;0;3;0;0;0;0;0;0;0;0;0;;;
00000003382;900;630;177;0;177;0;0;0;0;0;0;0;0;0;;;
00000003384;770;540;197;0;197;0;0;0;0;0;0;0;0;0;;;
00000003389;640;440;17;0;0;0;17;0;0;0;0;0;0;0;;;
00000003395;0;0;5;0;0;0;5;0;0;0;0;0;0;0;;;
00000003396;500;350;14;0;14;0;0;0;0;0;0;0;0;0;;;
00000003397;350;240;190;0;190;0;0;0;0;0;0;0;0;0;;;
00000003401;570;400;57;0;57;0;0;0;0;0;0;0;0;0;;;
00000003429;780;550;51;0;51;0;0;0;0;0;0;0;0;0;;;
00000003431;340;200;20;0;0;0;20;0;0;0;0;0;0;0;;;
00000003435;750;530;20;0;20;0;0;0;0;0;0;0;0;0;;;
00000003796;950;570;56;0;56;0;0;0;0;0;0;0;0;0;;;
00000003805;530;370;235;0;235;0;0;0;0;0;0;0;0;0;;;
00000003810;210;150;54;0;54;0;0;0;0;0;0;0;0;0;;;
00000003818;380;260;60;0;60;0;0;0;0;0;0;0;0;0;;;
00000004157;2150;1610;3;0;3;0;0;0;0;0;0;0;0;0;;;
00000004564;1880;1410;16;0;16;0;0;0;0;0;0;0;0;0;;;
00000004567;2990;2390;137;0;137;0;0;0;0;0;0;0;0;0;;;
00000004568;4190;3270;123;0;122;0;1;0;0;0;0;0;0;0;2;2021-08-05;
00000004569;910;710;73;0;73;0;0;0;0;0;0;0;0;0;;;
00000004570;1600;1240;108;0;108;0;0;0;0;0;0;0;0;0;;;
