НоменклатураКод;ЦенаРозн;ЦенаОпт;Свободно;Резерв;Климовск;КлимовскР;Краснодар;КраснодарР;Воронеж;ВоронежР;СанктПетербург;СанктПетербургР;Екатеринбург;ЕкатеринбургР;Ожидается;Дата;
00000006493;3700;3020;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000006494;4550;3680;60;0;60;0;0;0;0;0;0;0;0;0;;;
00000006495;4550;3680;144;2;142;2;0;0;0;0;2;0;0;0;;;
00000006498;7810;6850;1;0;0;0;1;0;0;0;0;0;0;0;40;2021-09-20;
00000006512;7640;6920;36;0;36;0;0;0;0;0;0;0;0;0;;;
00000006514;2000;1750;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000006516;3080;2520;59;0;59;0;0;0;0;0;0;0;0;0;;;
00000006517;26250;22390;7;1;4;1;0;0;3;0;0;0;0;0;;;
00000006518;26250;22390;10;0;10;0;0;0;0;0;0;0;0;0;;;
00000006519;5290;4360;27;30;27;30;0;0;0;0;0;0;0;0;;;
00000006521;2650;2240;4;0;4;0;0;0;0;0;0;0;0;0;;;
00000006526;2690;2150;1;2;1;0;0;0;0;0;0;2;0;0;;;
00000006527;27390;23060;1;0;0;0;0;0;0;0;1;0;0;0;;;
00000006528;2320;2000;17;0;17;0;0;0;0;0;0;0;0;0;;;
00000006536;2690;2150;29;2;28;2;0;0;1;0;0;0;0;0;;;
00000006537;2320;2000;1295;69;1293;69;0;0;2;0;0;0;0;0;;;
00000006539;2320;2000;741;24;741;24;0;0;0;0;0;0;0;0;;;
00000006540;2690;2150;14;1;14;1;0;0;0;0;0;0;0;0;;;
00000006542;3700;3020;1233;11;1210;11;8;0;0;0;15;0;0;0;;;
00000006543;4550;3680;45;0;44;0;0;0;0;0;1;0;0;0;;;
00000006545;5410;5410;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000006549;1830;1570;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000006555;2030;1700;22;0;22;0;0;0;0;0;0;0;0;0;;;
00000006556;1320;1150;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000006557;4100;3390;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000006559;1030;900;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000006565;4340;4050;2;0;0;0;0;0;2;0;0;0;0;0;;;
00000006567;7060;6550;2;0;1;0;0;0;1;0;0;0;0;0;;;
00000006568;1620;1440;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000006569;780;650;626;3;598;0;18;0;10;0;0;3;0;0;;;
00000006572;1330;1220;428;0;368;0;26;0;8;0;26;0;0;0;;;
00000006573;800;720;9;0;9;0;0;0;0;0;0;0;0;0;;;
00000006574;1610;1500;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000006576;1010;940;10;0;10;0;0;0;0;0;0;0;0;0;;;
00000006584;500;430;3;0;0;0;0;0;3;0;0;0;0;0;;;
00000006585;360;320;56;0;41;0;0;0;8;0;7;0;0;0;;;
00000006592;0;0;6;0;6;0;0;0;0;0;0;0;0;0;;;
00000006593;3390;3100;6;0;0;0;0;0;0;0;6;0;0;0;;;
00000006594;350;310;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000006595;230;180;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000006597;1820;1500;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000006600;0;0;4;0;4;0;0;0;0;0;0;0;0;0;;;
00000006602;1330;1220;418;0;418;0;0;0;0;0;0;0;0;0;;;
00000006604;1440;1340;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000006605;5680;5080;1;0;0;0;1;0;0;0;0;0;0;0;;;
00000006612;2010;1790;5;0;0;0;5;0;0;0;0;0;0;0;;;
00000006613;620;550;2;1;2;0;0;0;0;0;0;1;0;0;;;
00000006614;950;850;8;0;0;0;8;0;0;0;0;0;0;0;;;
00000006616;1220;1120;259;0;255;0;4;0;0;0;0;0;0;0;;;
00000006618;2830;2530;2;0;0;0;2;0;0;0;0;0;0;0;;;
00000006621;200;200;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000006622;720;650;8;0;3;0;2;0;3;0;0;0;0;0;;;
00000006626;1870;1740;17;4;13;4;0;0;4;0;0;0;0;0;;;
00000006629;120;120;6;0;6;0;0;0;0;0;0;0;0;0;;;
00000006631;470;410;18;0;14;0;4;0;0;0;0;0;0;0;;;
00000006637;1890;1710;9;0;6;0;0;0;3;0;0;0;0;0;;;
00000006639;140;140;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000006641;280;250;7;0;5;0;0;0;2;0;0;0;0;0;;;
00000006642;1540;1430;32;0;15;0;11;0;6;0;0;0;0;0;;;
00000006797;11720;11300;6;0;6;0;0;0;0;0;0;0;0;0;;;
00000006798;4800;4530;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000006807;4800;4530;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000006816;9550;8930;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000006843;10180;9280;3;0;3;0;0;0;0;0;0;0;0;0;;;
00000006844;12260;11170;3;0;3;0;0;0;0;0;0;0;0;0;;;
00000006846;17170;15650;9;0;9;0;0;0;0;0;0;0;0;0;;;
00000006847;11710;10670;21;0;21;0;0;0;0;0;0;0;0;0;;;
00000006865;4980;4560;4;0;0;0;0;0;4;0;0;0;0;0;;;
00000006866;2890;2730;9;0;0;0;9;0;0;0;0;0;0;0;;;
00000006867;1800;1700;3;0;0;0;0;0;2;0;1;0;0;0;;;
00000006875;6840;6340;15;4;0;4;14;0;0;0;0;0;1;0;78;2022-03-10;
00000006877;6740;6460;0;1;0;1;0;0;0;0;0;0;0;0;;;
00000006900;22170;20090;14;0;14;0;0;0;0;0;0;0;0;0;20;2022-02-23;
00000006905;71890;66490;0;6;0;6;0;0;0;0;0;0;0;0;14;2022-03-10;
00000006907;71890;66490;20;0;12;0;4;0;4;0;0;0;0;0;8;2022-02-23;
00000006919;16040;14530;6;18;0;18;2;0;4;0;0;0;0;0;;;
00000006936;35790;33100;43;0;33;0;0;0;4;0;6;0;0;0;;;
00000006941;72870;69490;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000006945;161770;149330;4;0;2;0;0;0;0;0;2;0;0;0;;;
00000006955;45960;42500;19;0;11;0;2;0;4;0;0;0;2;0;10;2022-03-10;
00000006962;5990;5430;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000006966;21100;19110;6;4;2;0;0;4;4;0;0;0;0;0;17;2022-03-10;
00000006978;7300;6740;1;0;0;0;0;0;0;0;0;0;1;0;20;2022-02-23;
00000006981;9900;9170;2;2;0;2;2;0;0;0;0;0;0;0;;;
00000006985;29490;26720;1;0;1;0;0;0;0;0;0;0;0;0;8;2022-02-23;
00000006988;2290;2130;145;0;123;0;6;0;6;0;10;0;0;0;;;
00000007001;43990;40680;2;0;0;0;0;0;0;0;1;0;1;0;;;
00000007018;33120;31960;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000007039;23260;22180;1;0;0;0;0;0;1;0;0;0;0;0;;;
00000007043;6470;6080;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000007048;33400;30890;0;1;0;1;0;0;0;0;0;0;0;0;10;2022-03-10;
00000007064;6470;6180;0;2;0;2;0;0;0;0;0;0;0;0;;;
00000007073;35790;33100;5;8;0;8;4;0;0;0;1;0;0;0;17;2022-02-23;
00000007078;1960;1850;1;0;0;0;1;0;0;0;0;0;0;0;;;
00000007081;4110;3800;311;0;260;0;16;0;8;0;24;0;3;0;50;2022-02-23;
00000007085;4140;3860;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000007086;4740;4390;62;0;36;0;10;0;8;0;2;0;6;0;40;2022-02-23;
00000007088;9790;8590;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000007094;9260;8390;0;12;0;12;0;0;0;0;0;0;0;0;68;2022-02-23;
00000007103;17950;16600;28;6;24;2;4;0;0;4;0;0;0;0;23;2022-02-23;
00000007104;37870;35020;120;0;106;0;2;0;6;0;6;0;0;0;;;
00000007113;11630;10530;6;24;0;24;4;0;0;0;0;0;2;0;80;2022-02-23;
00000007115;15930;14430;2;0;2;0;0;0;0;0;0;0;0;0;20;2022-03-10;
00000007123;22820;21110;89;4;48;4;16;0;6;0;11;0;8;0;40;2022-02-23;
00000007130;530;510;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000007135;21300;18640;1;0;0;0;1;0;0;0;0;0;0;0;;;
00000007137;8970;8740;74;0;70;0;4;0;0;0;0;0;0;0;;;
00000007138;8610;8090;8;0;4;0;0;0;4;0;0;0;0;0;;;
00000007149;34750;32140;16;0;8;0;4;0;0;0;4;0;0;0;;;
00000007157;3300;3210;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000007169;36210;33480;30;0;18;0;4;0;4;0;4;0;0;0;;;
00000007170;4740;4390;1;0;0;0;1;0;0;0;0;0;0;0;;;
00000007171;12700;11510;18;0;10;0;4;0;4;0;0;0;0;0;30;2022-02-23;
00000007178;100050;95700;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000007195;6870;6360;3;0;1;0;2;0;0;0;0;0;0;0;;;
00000007197;7100;6490;35;0;29;0;2;0;4;0;0;0;0;0;;;
00000007199;7310;7020;40;0;38;0;0;0;2;0;0;0;0;0;;;
00000007202;17590;16280;187;0;157;0;10;0;8;0;12;0;0;0;;;
00000007203;16380;15720;14;0;0;0;10;0;4;0;0;0;0;0;;;
00000007204;6920;6260;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000007205;7920;7100;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000007206;1730;1660;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000007207;9060;8250;28;0;28;0;0;0;0;0;0;0;0;0;;;
00000007208;8410;7690;18;0;18;0;0;0;0;0;0;0;0;0;;;
00000007217;4890;4700;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000007221;7640;7340;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000007225;8800;8050;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000007226;21570;20250;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000007227;10190;9810;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000007229;14850;14180;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000007235;22030;20450;3;0;3;0;0;0;0;0;0;0;0;0;;;
00000007238;15920;14570;1;0;0;0;0;0;0;0;1;0;0;0;;;
00000007248;23780;22440;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000007249;43680;39940;60;0;60;0;0;0;0;0;0;0;0;0;;;
00000007250;33210;30360;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000007251;59190;54110;22;4;22;4;0;0;0;0;0;0;0;0;;;
00000007252;43100;39320;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000007254;360960;338400;4;0;4;0;0;0;0;0;0;0;0;0;;;
00000007273;7850;7420;1;0;0;0;0;0;0;0;1;0;0;0;;;
00000007278;10110;9210;3;0;1;0;2;0;0;0;0;0;0;0;;;
00000007282;6440;6120;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000007283;3760;3610;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000007284;26970;25500;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000007285;26870;25370;16;0;16;0;0;0;0;0;0;0;0;0;;;
00000007288;66790;61060;4;0;4;0;0;0;0;0;0;0;0;0;;;
00000007289;19010;17600;2;0;2;0;0;0;0;0;0;0;0;0;;;
